name,playcount,listeners
The Beatles,531600358,3752838
Radiohead,510896158,4795615
Coldplay,366006642,5449800
Arctic Monkeys,342025189,3567197
Pink Floyd,321023467,3142500
Red Hot Chili Peppers,299691826,4680872
Lady Gaga,294485383,3895390
Kanye West,262418627,4485781
Lana Del Rey,240634638,1980539
Nirvana,227599240,4337030
The Killers,214034320,4486531
Daft Punk,213429168,3839953
Taylor Swift,206962845,2310662
Rihanna,205992931,4640832
Eminem,205810156,4586830
Queen,200070488,4104488
David Bowie,199327097,3417771
Green Day,192925394,3802939
Gorillaz,174696229,3637616
Beyoncé,167763731,3649746
The Cure,161545022,2991075
The Rolling Stones,158155671,3857678
Katy Perry,154416804,3819887
Drake,150834304,3461879
Michael Jackson,134362237,3612905
